vehicle_count,ttl_seconds,seed,interactions,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,bytes_total,cache_entries_final,cache_entries_peak,messages_per_interaction,bytes_per_interaction,queries_per_interaction
20,0.0,1005.5,240.0,0.0,240.0,0.0,240.0,0.0,0.0,224.0,16.0,6.0,0.0,0.0,16.958069202880004,24.043360703215075,488.5,343321.6,58.4,58.4,2.035416666666667,1430.5066666666667,1.0
20,1.0,1005.5,240.0,15.2,224.8,0.06333333333333332,224.8,15.2,0.0,224.8,15.2,5.1,0.0,0.0,15.908492528448468,23.94499346979628,457.5,321587.2,59.3,59.3,1.90625,1339.9466666666667,0.9366666666666668
20,2.0,1005.5,240.0,29.3,210.7,0.12208333333333335,210.7,29.3,0.0,223.8,16.2,5.4,0.1,0.00041666666666666664,14.957082450418772,23.94499346979618,428.7,301401.6,58.8,58.8,1.7862500000000001,1255.84,0.8779166666666667
20,5.0,1005.5,240.0,56.8,183.2,0.23666666666666666,183.2,56.8,0.0,224.8,15.2,4.5,0.4,0.0016666666666666666,13.032550287054459,23.708579155497063,372.5,261747.2,59.2,59.2,1.5520833333333333,1090.6133333333332,0.7633333333333334
20,10.0,1005.5,240.0,89.3,150.7,0.3720833333333333,150.7,89.3,0.0,225.4,14.6,4.3,0.7,0.002916666666666667,10.817172499494228,23.27996194795976,306.2,215116.8,58.3,58.3,1.2758333333333334,896.32,0.6279166666666667
20,30.0,1005.5,240.0,144.7,95.3,0.6029166666666667,95.3,144.7,0.0,227.6,12.4,3.6,4.6,0.01916666666666667,6.921421260132523,22.020130886532243,194.2,136448.0,58.7,58.7,0.8091666666666667,568.5333333333333,0.39708333333333334
40,0.0,1005.5,480.0,0.0,480.0,0.0,480.0,0.0,0.0,450.0,30.0,8.8,0.0,0.0,16.865657841687828,24.077637611154113,975.4,685516.8,117.1,117.1,2.0320833333333335,1428.16,1.0
40,1.0,1005.5,480.0,15.6,464.4,0.0325,464.4,15.6,0.0,446.3,33.7,10.9,0.0,0.0,16.336128200329206,24.03350805110636,943.6,663129.6,118.3,118.3,1.9658333333333335,1381.52,0.9675
40,2.0,1005.5,480.0,29.1,450.9,0.060625,450.9,29.1,0.0,445.0,35.0,9.3,0.0,0.0,15.863750729028814,23.998809036830895,916.2,644019.2,117.7,117.7,1.90875,1341.7066666666667,0.9393750000000001
40,5.0,1005.5,480.0,67.6,412.4,0.1408333333333333,412.4,67.6,0.0,449.0,31.0,8.3,0.1,0.00020833333333333332,14.566719266260018,23.807979502489815,837.9,588761.6,117.6,117.6,1.745625,1226.5866666666666,0.8591666666666666
